child,parent
Action,NULL
Adult,NULL
Adventure,NULL
Animation,NULL
Biography,NULL
Comedy,NULL
Crime,NULL
Documentary,NULL
Drama,NULL
Family,NULL
Fantasy,NULL
Game-Show,NULL
History,NULL
Horror,NULL
Music,NULL
Musical,NULL
Mystery,NULL
News,NULL
Reality-TV,NULL
Romance,NULL
Sci-Fi,NULL
Sport,NULL
Thriller,NULL
War,NULL
Western,NULL
"Action,Adult",Action
"Action,Adventure",Action
"Action,Animation",Action
"Action,Biography",Action
"Action,Comedy",Action
"Action,Crime",Action
"Action,Documentary",Action
"Action,Drama",Action
"Action,Family",Action
"Action,Fantasy",Action
"Action,History",Action
"Action,Horror",Action
"Action,Music",Action
"Action,Musical",Action
"Action,Mystery",Action
"Action,Romance",Action
"Action,Sci-Fi",Action
"Action,Sport",Action
"Action,Thriller",Action
"Action,War",Action
"Action,Western",Action
"Adult,Adventure",Action
"Adult,Comedy",Action
"Adult,Crime",Action
"Adult,Documentary",Action
"Adult,Drama",Action
"Adult,Fantasy",Action
"Adult,Horror",Action
"Adventure,Animation",Action
"Adventure,Biography",Action
"Adventure,Comedy",Action
"Adventure,Crime",Action
"Adventure,Documentary",Action
"Adventure,Drama",Action
"Adventure,Family",Action
"Adventure,Fantasy",Action
"Adventure,History",Action
"Adventure,Horror",Action
"Adventure,Music",Action
"Adventure,Musical",Action
"Adventure,Mystery",Action
"Adventure,Romance",Action
"Adventure,Sci-Fi",Action
"Adventure,Sport",Action
"Adventure,Thriller",Action
"Adventure,War",Action
"Adventure,Western",Action
"Animation,Biography",Action
"Animation,Comedy",Action
"Animation,Crime",Action
"Animation,Documentary",Action
"Animation,Drama",Action
"Animation,Family",Action
"Animation,Fantasy",Action
"Animation,History",Action
"Animation,Horror",Action
"Animation,Music",Action
"Animation,Musical",Action
"Animation,Mystery",Action
"Animation,Romance",Action
"Animation,Sci-Fi",Action
"Animation,Sport",Action
"Animation,Thriller",Action
"Animation,War",Action
"Biography,Comedy",Action
"Biography,Crime",Action
"Biography,Documentary",Action
"Biography,Drama",Action
"Biography,Fantasy",Action
"Biography,History",Action
"Biography,Sci-Fi",Action
"Biography,Thriller",Action
"Biography,Western",Action
"Comedy,Crime",Action
"Comedy,Documentary",Action
"Comedy,Drama",Action
"Comedy,Family",Action
"Comedy,Fantasy",Action
"Comedy,History",Action
"Comedy,Horror",Action
"Comedy,Music",Action
"Comedy,Musical",Action
"Comedy,Mystery",Action
"Comedy,Romance",Action
"Comedy,Sci-Fi",Action
"Comedy,Sport",Action
"Comedy,Thriller",Action
"Comedy,War",Action
"Comedy,Western",Action
"Crime,Documentary",Action
"Crime,Drama",Action
"Crime,Fantasy",Action
"Crime,History",Action
"Crime,Horror",Action
"Crime,Music",Action
"Crime,Musical",Action
"Crime,Mystery",Action
"Crime,Romance",Action
"Crime,Sci-Fi",Action
"Crime,Sport",Action
"Crime,Thriller",Action
"Crime,War",Action
"Crime,Western",Action
"Documentary,Drama",Action
"Documentary,Family",Action
"Documentary,Fantasy",Action
"Documentary,History",Action
"Documentary,Horror",Action
"Documentary,Music",Action
"Documentary,Musical",Action
"Documentary,Mystery",Action
"Documentary,News",Action
"Documentary,Romance",Action
"Documentary,Sport",Action
"Documentary,Thriller",Action
"Documentary,War",Action
"Documentary,Western",Action
"Drama,Family",Action
"Drama,Fantasy",Action
"Drama,History",Action
"Drama,Horror",Action
"Drama,Music",Action
"Drama,Musical",Action
"Drama,Mystery",Action
"Drama,News",Action
"Drama,Romance",Action
"Drama,Sci-Fi",Action
"Drama,Sport",Action
"Drama,Thriller",Action
"Drama,War",Action
"Drama,Western",Action
"Family,Fantasy",Action
"Family,Horror",Action
"Family,Musical",Action
"Family,Mystery",Action
"Family,Romance",Action
"Family,Sci-Fi",Action
"Family,Thriller",Action
"Family,Western",Action
"Fantasy,History",Action
"Fantasy,Horror",Action
"Fantasy,Musical",Action
"Fantasy,Mystery",Action
"Fantasy,Romance",Action
"Fantasy,Sci-Fi",Action
"Fantasy,Sport",Action
"Fantasy,Thriller",Action
"Fantasy,War",Action
"Fantasy,Western",Action
"History,Horror",Action
"History,Mystery",Action
"History,Romance",Action
"History,Thriller",Action
"History,War",Action
"Horror,Music",Action
"Horror,Mystery",Action
"Horror,Romance",Action
"Horror,Sci-Fi",Action
"Horror,Sport",Action
"Horror,Thriller",Action
"Horror,War",Action
"Horror,Western",Action
"Music,Musical",Action
"Music,Romance",Action
"Music,Sci-Fi",Action
"Musical,Mystery",Action
"Musical,Romance",Action
"Musical,Sci-Fi",Action
"Musical,Thriller",Action
"Musical,War",Action
"Mystery,Romance",Action
"Mystery,Sci-Fi",Action
"Mystery,Thriller",Action
"Mystery,Western",Action
"Romance,Sci-Fi",Action
"Romance,Sport",Action
"Romance,Thriller",Action
"Romance,War",Action
"Romance,Western",Action
"Sci-Fi,Sport",Action
"Sci-Fi,Thriller",Action
"Sci-Fi,War",Action
"Sci-Fi,Western",Action
"Sport,Thriller",Action
"Sport,War",Action
"Thriller,War",Action
"Thriller,Western",Action
"Adult,Animation",Adult
"Adult,Biography",Adult
"Adult,History",Adult
"Adult,Music",Adult
"Adult,Musical",Adult
"Adult,Mystery",Adult
"Adult,Romance",Adult
"Adult,Sci-Fi",Adult
"Adult,Sport",Adult
"Adult,Thriller",Adult
"Adult,War",Adult
"Comedy,Reality-TV",Adult
"Action,Adult,Adventure","Adult,Adventure"
"Action,Adult,Comedy","Adult,Comedy"
"Action,Adult,Crime","Adult,Crime"
"Action,Adult,Documentary","Adult,Documentary"
"Action,Adult,Drama","Adult,Drama"
"Action,Adult,Fantasy","Adult,Fantasy"
"Action,Adult,Horror","Adult,Horror"
"Adventure,News",Adventure
"Adventure,Reality-TV",Adventure
"Biography,Family",Adventure
"Biography,Mystery",Adventure
"Crime,Family",Adventure
"Documentary,Reality-TV",Adventure
"Documentary,Sci-Fi",Adventure
"Family,History",Adventure
"Family,Music",Adventure
"Family,Sport",Adventure
"Fantasy,Music",Adventure
"History,Music",Adventure
"History,News",Adventure
"History,Sci-Fi",Adventure
"History,Western",Adventure
"Music,Mystery",Adventure
"Music,Thriller",Adventure
"Mystery,War",Adventure
"Action,Adventure,Animation","Adventure,Animation"
"Action,Adventure,Biography","Adventure,Biography"
"Action,Adventure,Comedy","Adventure,Comedy"
"Adult,Adventure,Comedy","Adventure,Comedy"
"Action,Adventure,Crime","Adventure,Crime"
"Action,Adventure,Documentary","Adventure,Documentary"
"Action,Adventure,Drama","Adventure,Drama"
"Adult,Adventure,Drama","Adventure,Drama"
"Action,Adventure,Family","Adventure,Family"
"Action,Adventure,Fantasy","Adventure,Fantasy"
"Action,Adventure,History","Adventure,History"
"Action,Adventure,Horror","Adventure,Horror"
"Action,Adventure,Music","Adventure,Music"
"Action,Adventure,Musical","Adventure,Musical"
"Action,Adventure,Mystery","Adventure,Mystery"
"Action,Adventure,Romance","Adventure,Romance"
"Adult,Adventure,Romance","Adventure,Romance"
"Action,Adventure,Sci-Fi","Adventure,Sci-Fi"
"Adult,Adventure,Sci-Fi","Adventure,Sci-Fi"
"Action,Adventure,Sport","Adventure,Sport"
"Action,Adventure,Thriller","Adventure,Thriller"
"Action,Adventure,War","Adventure,War"
"Action,Adventure,Western","Adventure,Western"
"Animation,Western",Animation
"Biography,Music",Animation
"History,Musical",Animation
"Music,Western",Animation
"Action,Animation,Biography","Animation,Biography"
"Adventure,Animation,Biography","Animation,Biography"
"Action,Animation,Comedy","Animation,Comedy"
"Adult,Animation,Comedy","Animation,Comedy"
"Adventure,Animation,Comedy","Animation,Comedy"
"Action,Animation,Crime","Animation,Crime"
"Adventure,Animation,Crime","Animation,Crime"
"Action,Animation,Documentary","Animation,Documentary"
"Adventure,Animation,Documentary","Animation,Documentary"
"Action,Animation,Drama","Animation,Drama"
"Adult,Animation,Drama","Animation,Drama"
"Adventure,Animation,Drama","Animation,Drama"
"Action,Animation,Family","Animation,Family"
"Adventure,Animation,Family","Animation,Family"
"Action,Animation,Fantasy","Animation,Fantasy"
